Holding	Category	RebalancingWeight	CurrentWeight
Bitcoin (BTC)	Value	37.50 %	45.24 %
Ethereum (ETH)	Platform	27.50 %	24.92 %
TenX (PAY)	Debit Card	7.50 %	7.14 %
Melon (MLN)	Digital Asset Managing Platform	7.50 %	5.62 %
Basic Attention Token (BAT)	Advertisement	5.00 %	4.41 %
Steem (STEEM)	Media	5.00 %	4.11 %
Swarm City (SWT)	Decentralized Commerce Platform	2.50 %	1.75 %
Cofound.it (CFI)	Crowdfunding Platform	2.50 %	2.53 %
Waves (WAVES)	Programmable Platform	2.50 %	2.27 %
MaidSafeCoin (MAID)	Storage	2.50 %	2.03 %
